clip_id	reference	hypothesis
1003119935936341070.wav	however due to the slow communication channels styles in the west could lag behind by 25 to 30 year	However, due to the slow communication channels, styles in the West could lag behind by twenty five to thirty years.
10052240106321793346.wav	all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence	All nouns alongside the world say for you always begin with a capital letter, even in the middle of a sentence
10167324587744183095.wav	to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron	To the north and within easy reach is the romantic and fascinating town of Sintra and which was famous, to foreigners after a glowing account of the plenurs recorded by Lord Byron
10197164397713068203.wav	the cabbage juice changes color depending on how acidic or basic alkaline the chemical is	The tapestice changes color depending on how acidic, basic alkaline the chemical is.
10233995782544396174.wav	many people don't think about them as dinosaurs because they have feathers and can fly	Many people don't think about them as dinosaurs because they have others and themselves.
10235738076911595987.wav	the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others	The hospital has followed a protocol for infection control, including separating the patient from others to prevent possible infection of others.
10323357556845456822.wav	the northern marianas emergency management office said that there were no damages reported in the nation	The Northern Mariana's Emergency Management Oice said there were no damages reported in the nation.
10335587906469246566.wav	twentieth century research has shown that there are two pools of genetic variation hidden and expressed	Twentieth century research has shown that there are two pools of genetic variation hidden and express.
10344335557154974057.wav	the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2	The aspect ratio of this format, dividing by twelve to obtain the simplest whole number ratio, is therefore said to be free to two.
1036771894648013441.wav	as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times	As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses easier to reach than those built in modern times
1038214857203833067.wav	through the night between 150 and 200 copies were made now known as dunlap broadsides	The night between one fifty and two hundred copies wereve, now known as Dunmap podsides.
10383288285905292158.wav	for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook	For example, each year students from Bennet School in North Carolina designig a website about their trips to the State capital each year the website gets remodeled, but old versions are kept online to serve as a scrap bookok.
10405958125670257178.wav	lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey	Lion pride acts much like packs of wolves or dogs, animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey
