clip_id	reference	hypothesis
10015420708072669120.wav	இது வேதியியல் ph என அழைக்கப்படுகிறது நீங்கள் சிவப்பு முட்டைக்கோஸ் சாற்றைப் பயன்படுத்தி ஒரு குறிகாட்டியை உருவாக்கலாம்	இது வேதியியல் பிஹெச் என அழைக்கப்படுகிறது நீங்கள் சிவப்பு முட்டைக்கோஸ் ஆற்றைப் பயன்படுத்தி ஒரு குறிகாட்டியை உருவாக்கலாம்
10072217146537983584.wav	லக்கா சிங் பஜனையை வழங்கினார் பாடகர் ராஜு கண்டெல்வலும் அவருடன் வந்திருந்தார்	லக்காச்சிங் பஜனையை வழங்கினார் பாடகர் ராஜு கண்டல்வாலும் அவருடன் வந்திருந்தார்
10072241588933076862.wav	நீங்கள் உங்கள் சொந்த கருத்தைத் தவிர அரசாங்கங்களின் ஆலோசனையை பெற விரும்பலாம் ஆனால் அவர்களின் ஆலோசனை அவர்களின் குடிமக்களுக்கென உருவாக்கப்பட்டுள்ளது	நீங்கள் உங்கள் சொந்த கருத்தைத் தவிர அரசாங்கங்களின் ஆலோசனையைப் பெற விரும்பலாம் ஆனால் அவர்களின் ஆலோசனை அவர்களின் குடிமக்களுக்கென உருவாக்கப்பட்டுள்ளது நீங்கள் உங்கள் சொந்த கருத்தைத் தவிர நீங்கள் உங்கள் சொந்த கருத்தைத் தவிர அரசாங்கங்களின் ஆலோசனையைப் பெற விரும்பலாம் ஆனால் அவர்களின் ஆலோசனை அவர்களின் குடிமக்களுக்கென உருவாக்கப்பட்டுள்ளது
10151944176129497809.wav	முக்கியமான மேடைகளில் இசை நிகழ்ச்சி முடிந்திருந்தாலும் விழாவின் சில பிரிவுகள் இரவு இசைப்பதைத் தொடரும்	முக்கியமான மேடைகளில் இசை நிகழ்ச்சி முடிந்திருந்தாலும் விழாவின் சில பிரிவுகள் இரவு இசைப்பதை தொடரும்
10170056955437280049.wav	அந்தப் பாலம் செப்டெம்பர் 2017 இல் பிரேசிலிய சுங்கத்துறை சோதனைச் சாவடிகள் தயாரானதும் முழுவதுமாக செயல்படத் திட்டமிடப் பட்டுள்ளது	அந்த பாலம் செப்டம்பர் இரண்டாயிரத்தி பதினேழில் பிரேசிலிய சுங்கத்துறை சோதனைச் சாவடிகள் தயாரானதும் முழுவதுமாக செயல்பட திட்டமிடப்பட்டுள்ளது
10222238337252024030.wav	பேருந்துகள் நாள் முழுவதும் மாவட்டங்களுக்கு இடையேயான பேருந்து நிலையத்திலிருந்து ஆற்றின் குறுக்கே புறப்படுகின்றன இருப்பினும் பெரும்பாலானவை குறிப்பாகக் கிழக்கு நோக்கிச் செல்லும் பேருந்துகள் மற்றும் ஜகார் / பும்தாங் 06:30 முதல் 07:30 மணிக்கு இடையே புறப்பட்டுச் செல்கின்றன	பேருந்துகள் நாள் முழுவதும் மாவட்டங்களுக்கு இடையிலான பேருந்து நிலையத்திலிருந்து ஆற்றின் கோரிக்கே புறப்படுகின்றன இருப்பினும் பெரும்பாலானவை குறிப்பாக கிழக்கு நோக்கிச் செல்லும் பேருந்துகள் மற்றும் ஜாகர் பும்தாங் ஆறாம் முதல் ஏழ்ரை மணிக்கு இடையே புறப்படச் செல்கின்றன
10265284731185110799.wav	துணி மிகவும் வெப்பமடைதலை அனுமதிக்காதபடி கவனமாக இருக்கவும் அதனால் துணி சுருங்கலாம் அல்லது தீவிர நிகழ்வுகளில் துணி தீயில் வாட்டப்படலாம்	துணி மிகவும் வெப்பமடைந்ததலை அனுமதிக்கப்படுவதி கவனமாக இருக்கவும் அதனால் துணி சுருங்கலாம் அல்லது தீவிர நிகழ்வுகளில் துணி தீயால் வாடப்படலாம்
10278812186982315493.wav	இதன் விளைவாக இரண்டு2 மீன் வகைகள் அழிந்துவிட்டன மேலும் ஹம்ப்பேக்  சப் உட்பட மற்ற இரண்டு 2 அழியும் நிலையில் உள்ளன	இதன் விளைவாக இரண்டு மீன் வகைகள் அழிந்துவிட்டன மேலும் ஹம்பெக்ஸப் உட்பட மற்ற இரண்டு அழியும் நிலையில் உள்ளன
10296046279567274586.wav	ரோம் நகரில் பல இடங்களில் ஏராளமான பெரிய தொலைக்காட்சித் திரைகள் அமைக்கப்பட்டு மக்கள் இந்த விழாவைக் காண முடிந்தது	ரோம் நகரில் பல இடங்களில் ஏராளமான பெரிய தொலைக்காட்சித் தேர்தல் அமைக்கப்பட்டு மக்கள் இந்த விழாவைக் காண முடிந்தது
10367238297771483490.wav	"வலைப்பதிவுகளின் சரியான பயன்பாடு "மாணவர்களை மேலும் விமர்சகர்களாகவும் பகுத்தாய்பவர்களாகவும் ஆக்கும்; இணைய கேள்விகளுக்கு பதிலளிக்கும் போது அவர்கள் அடுதவர்களுடைய கருத்துக்கு தங்கள் பதிலைச் சொல்வதுடன் தங்களுக்கே உரிய ஒரு நிலையை எடுக்கவும் உதவுகிறது" ஓராவேக் 2002. 	வலைப்பதிவுகளின் சரியான பயன்பாடு மாணவர்களை மேலும் விமர்சகர்களாகவும் பகுத்தாய்பவர்களாகவும் ஆக்கும் இணைய கேள்விகளுக்கு பதிலளிக்கும் போது அவர்கள் அடுத்தவர்களுடைய கருத்திற்கு தங்கள் பதிலை சொல்வதுடன் தங்களுக்கே உரிய ஒரு நிலையை எடுக்கவும் உதவுகிறது ஒராவேக் இரண்டாயிரத்தி இரண்டு
