clip_id	reference	hypothesis
10012315972427481934.wav	জার্মানির অনেক বেক করা খাবারগুলিতে বাদাম হ্যাজনেলট এবং অন্যান্য বাদামের উপাদান পাওয়া যায় পছন্দের কেকগুলি প্রায়শই একটি কাপ ভরা কফির সাথে ভাল মানায়	জার্মানির অনেক বেক করা খাবারগুলিতে বাদাম হ্যাজনেেল্ট এবং অন্যান্য বাদামের উপাদান পাওয়া যায় পছন্দের কেকগুলি প্রায়শই একটি কাপ ভরা কফির সাথে ভালো আনায়
10025278611427771211.wav	একজন শুধুমাত্র আশ্চর্য হতে পারে এই ভেবে যে যখন নতুন কিছু আসে তখন কী-বোর্ড কীরকম হবে	একজন শুধুমাত্র আশ্চর্য হতে পারে এই ভেবে যে যখন নতুন কিছু আসে তখন কিবোর্ড কিরকম হবে
10059008353469041076.wav	হাইতিয়ান ইনস্টিটিউট ফর জাস্টিস অ্যান্ড ডেমোক্রেসি এর স্বতন্ত্র সমীক্ষাতে উল্লেখ করা হয়েছে যে নেপালি জাতিসংঘের শান্তিরক্ষা বাহিনী অজান্তেই হাইতিতে এই রোগটি নিয়ে এসেছিল	হাইতিয়ান ইনস্টিটিউট ফর জাস্টিস অ্যান্ড ডেমোক্রেসি এর স্বতন্ত্র সমীক্ষাতে উল্লেখ করা হয়েছে যে নেপালি জাতিসংঘের শান্তিরক্ষা বাহিনী অজান্তেই হাইতিতে এই রোগটি নিয়ে এসেছিল
10100521488104977460.wav	দুটি পয়েন্টের মাঝে দুজন ড্রাইভার এবং তাদের যানের মধ্যে যে চলন ও কথাবার্তা চলে সেই বিদ্যাকেই ট্রাফিক ফ্লো বলে	দুটি পয়েন্টর মাঝে দুজন ড্রাইভার এবং তাদের জানের মধ্যে যে চলন ও কথাবার্তা চলে সেই বিদ্যাকেই ট্রাফিক ফ্লো বলে
10104859715102207297.wav	পুলিশ সুপার চন্দ্র শেখর সোলঙ্কি জানিয়েছিলেন অভিযুক্তরা মুখ ঢাকা অবস্থায় আদালতে হাজির হয়েছিল	পুলিশ সুপার চন্দ্রশেখর শলস্কি জানিয়েছিলেন অভিযুক্তরা মুখ ঢাকা অবস্থায় আদালতে হাজির হয়েছিল
10112260419298134236.wav	জাপানের পারমানবিক সংস্থার সূত্রে জানা গিয়েছে প্ল্যান্টটিতে তেজস্ক্রিয় সিজিয়াম এবং আয়োডিন চিহ্নিত করা হয়েছে	জাপানের পারমাণবিক সংস্থার সূত্রে জানা গিয়েছে লান্টিতে তেজস্ক্রীয় সিজি আম এবং আয়োডিন চিহ্নিত করা হয়েছে
10113993134008827381.wav	বার্সেলোনার সরকারী ভাষা হলো কাতালান এবং স্প্যানিশ প্রায় অর্ধেক জনগোষ্ঠী কাতালান ভাষায় কথা বলে থাকে বহু সংখ্যক মানুষ এই ভাষা বোঝে এবং কার্যত সবাই স্প্যানিশ ভাষা জানে	পারার্সলোনার সরকারি ভাষা হল কাতালান এবং স্প্যানিশ প্রায় অর্ধেক জনগোষ্ঠী কাতালান ভাষায় কথা বলে থাকে বহু সংখ্যক মানুষ এই ভাষা বোঝে এবং কার্যত সবাই স্প্যানিশ ভাষা জানে
10133515389098801664.wav	আনুষ্ঠানিকভাবে ফকল্যান্ডস এর মুদ্রা হল ফকল্যান্ড পাউন্ড এফকেপি যার মান 1 ব্রিটিশ পাউন্ড জিবিপি এর সমান।	আনুষ্ঠানিকভাবে ফোকল্যান্ডস এর মুদ্রা হল ফোকল্যান্ড পাউন্ড এফকেপি যার মান এক ব্রিটিশ পাউন্ড জিবিপি এর সমান
10160569019855782399.wav	"তিনি আরো যোগ করেন "যা তাদের উন্নয়নের স্তর দায়িত্ব  এবং সক্ষমতার সীমা ছাড়িয়ে যায় সেইসব বিষয়ে তাদের বাধ্য করা উচিৎ না।""	তিনি আরও যোগ করেন যা তাদের উন্নয়নের স্তর দায়িত্ব এবং সক্ষমতার সীমা ছাড়িয়ে যায় সেই সব বিষয়ে তাদের বাধ্য করা উচিত না
10173214416112429222.wav	যদিও এখনও পর্যন্ত পরীক্ষামূলক ভাবে একটি ভ্যাকসিন ইবোলা মৃত্যুর হার হ্রাস করতে সক্ষম হয়েছে তবে উপস্থিত সংক্রমণের চিকিৎসার জন্য উপযুক্ত কোন ওষুধ ভালোভাবে প্রকাশ হয়নি	যদিও এখনও পর্যন্ত পরীক্ষামূলকভাবে একটি ভ্যাক্সিন ইবোলা মৃত্যুর হার হ্রাস করতে সক্ষম হয়েছে তবে উপস্থিত সংক্রমণের চিকিৎসার জন্য উপযুক্ত কোন ঔষুধ ভালভাবে প্রকাশ হয়নি
