clip_id	reference	hypothesis
10032896167284103272.wav	ଯେଉଁ ଯୁଗରେ ଘଟଣାଗୁଡ଼ିକ ଘଟିଥିଲା ​​ତାହାକୁ ସାଧାରଣତଃ 11ଶ 12ଶ ଏବଂ 13ଶ ଶତାବ୍ଦୀରେ ad 1000–1300ରେ ୟୁରୋପୀୟ ଇତିହାସର ଉଚ୍ଚ ମଧ୍ୟଯୁଗ ବୋଲି କୁହାଯାଏ।	ଯେଉଁ ଯୁଗରେ ଘଟଣାଗୁଡ଼ିକ ଘଟିଥିଲା ତାହାକୁ ସାଧାରଣତଃ ଏକାଦଶ ଦ୍ୱାଦଶ ଏବଂ ତ୍ରୟୋଦଶ ଶତାବ୍ଦୀରେ ଖ୍ରୀଷ୍ଟପୂର୍ବ ହଜାରରୁ ତେରଶହରେ ୟୁରୋପୀୟ ଇତିହାସର ଉଚ୍ଚ ମଧ୍ୟଯୁଗ ବୋଲି କୁହାଯାଏ
10042972962571758875.wav	ମାଓ ଗତିବିଧି ଦ୍ୱାରା ଆୟୋଜିତ ସ୍ୱତନ୍ତ୍ରତା ପାଇଁ ସଂଘର୍ଷବେଳେ ସହରରେ କରାଯାଉଥିବା ଏକ ଶାନ୍ତିମୟ ସମାଗମରେ ସର୍ବୋପରି ମୁଖିଆ ଟୁପୁଆ ତାମାସେସେ ଲୀଲୋଫୀ iiiଙ୍କ ହତ୍ୟା କରାଯାଇଥିଲା।	ମାଓ ଗତିବିଧି ଦ୍ୱାରା ଆୟୋଜିତ ସ୍ୱତନ୍ତ୍ରତା ପାଇଁ ସଂଘର୍ଷ ବେଳେ ସହରରେ କରାଯାଉଥିବା ଏକ ଶାନ୍ତିମୟ ସମାଗମ ସର୍ବୋପରି ମୁଖିଆ ଟୁପ ତାମାସେସ୍ ଲିଲେଫିଙ୍କୁ ହତ୍ୟା କରାଯାଇଥିଲା
10106093150868045045.wav	କେତେକ କ୍ରିୟାପଦ ଓ କର୍ମପଦ ମଧ୍ୟରେ ପାର୍ଥକ୍ୟ ଜାଣିବା ପାଇଁ ଏହା ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଉପାୟ	କେତେକ କ୍ରିୟାପଦ ଓ କର୍ମପଦ ମଧ୍ୟରେ ପାର୍ଥକ୍ୟ ଜାଣିବା ପାଇଁ ହିଁ ଏହା ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଉପାୟ
10113119252315535970.wav	ଏହାକୁ ଏକ ରାସାୟନିକ ପଦାର୍ଥର ପିଏଚ କୁହାଯାଏ ଆପଣ ଲାଲ୍ ବନ୍ଧା କୋବି ରସ ବ୍ୟବହାର କରି ଏକ ସୂଚକ ତିଆରି କରିପାରିବେ	ଏହାକୁ ଏକ ରାସାୟନିକ ପଦାର୍ଥର ପିଏଚ୍ କୁହାଯାଏ ଆପଣ ଲାଲ ବନ୍ଧାକୋବି ରସ ବ୍ୟବହାର କରି ଏକ ସୂଚକ ତିଆରି କରିପାରିବେ
10121846850557682937.wav	ଏହି ନଗର ଦେଶର ଅନ୍ୟ ସହର ତୁଳନାରେ ପୂର୍ଣ୍ଣ ରୂପରେ ବିପରୀତ କାରଣ ଏଥିରେ ଆଫ୍ରିକୀୟ ଅପେକ୍ଷା ଆରବୀୟଙ୍କ ସ୍ୱଭାବ ଅଧିକ ରହିଛି	ଏହି ନଗର ଦେଶର ଅନ୍ୟ ସହର ତୁଳନାରେ ପୂର୍ଣ୍ଣ ରୂପରେ ବିପରୀତ କାରଣ ଏଥିରେ ଆଫ୍ରିକୀୟ ଅପେକ୍ଷା ଆରବୀୟଙ୍କ ସ୍ୱଭାବ ଅଧିକ ରହିଛି
10132040797823526495.wav	ହଟ୍ ଚକୋଲେଟ୍ ବେଲଜିୟମ୍ ସ୍ତରର ଅଟେ ଫଳ ରସ ଦାମିକିଆ ମାତ୍ର ବହୁତ ବଢ଼ିଆ	ହଟ୍ ଚକୋଲେଟ୍ ବେଲଜିୟମ ସ୍ତରର ଅଟେ କଳର ସଦାମିକିଆ ମାତ୍ର ବହୁତ ବଢ଼ିଆ
10138769786292496230.wav	ଏହି ଆବିଷ୍କାର ପକ୍ଷୀମାନଙ୍କ ଶରୀରରେ ପରର କ୍ରମବିକାଶ ବିଷୟରେ ମଧ୍ୟ ଅନ୍ତର୍ଦୃଷ୍ଟି ପ୍ରଦାନ କରେ	ଏହି ଆବିଷ୍କାର ପକ୍ଷୀମାନଙ୍କ ଶରୀରରେ ପରର କ୍ରମବିକାଶ ବିଷୟରେ ମଧ୍ୟ ଅନ୍ତର୍ବୃଷ୍ଟି ପ୍ରଦାନ କରେ
10188409938387808312.wav	ପ୍ରତ୍ଯେକ ରାଜବଂଶ ମଧ୍ୟରେ ଯୁଗ ବିଭାଜିତ ପ୍ରଦେଶ ଗୁଡିକର ଏକ ଅସ୍ଥାୟୀ ଯୁଗ ମଧ୍ୟ ଥିଲା ହାନ ଏବଂ ଜିନ ରାଜବଂଶ ମଧ୍ୟରେ ହୋଇଥିବା ତିନି ରାଜ୍ୟ ର 60 ବର୍ଷର ଯୁଗ ସବୁଠାରୁ ଜଣାଶୁଣା	ପ୍ରତ୍ୟେକ ରାଜବଂଶ ମଧ୍ୟରେ ଯୋଗ ବିଭାଜିତ ପ୍ରଦେଶଗୁଡ଼ିକର ଏକ ଅସ୍ଥାୟୀ ଯୋଗ ମଧ୍ୟ ଥିଲା ହାନ୍ ଏବଂ ଜିନ୍ ରାଜବଂଶ ମଧ୍ୟରେ ହୋଇଥିବା ତିନି ରାଜ୍ୟର ଷାଠିଏ ବର୍ଷ ଯୋଗ ସବୁଠାରେ ଜଣାଶୁଣା
10194903412601199671.wav	ଯଦି ଆପଣ ଏହି କାର୍ଯ୍ୟକଳାପର ପାଖାପାଖି ରହିବାକୁ ଚାହାଁନ୍ତି ତେବେ ଆପଣ ସଙ୍ଗୀତର ନିକଟବର୍ତ୍ତୀ ଏକ ଶିବିର ସ୍ଥଳ ପାଇବା ପାଇଁ ଆପଣଙ୍କୁ ଆଗୁଆ ଯିବାକୁ ପଡିବ	ଯଦି ଆପଣ ଏହି କାର୍ଯ୍ୟକଳାପର ପାଖାପାଖି ରହିବାକୁ ଚାହାଁନ୍ତି ତେବେ ଆପଣ ସଙ୍ଗୀତର ନିକଟବର୍ତ୍ତୀ ଏକ ଶିବିର ସ୍ଥଳ ପାଇବା ପାଇଁ ଆପଣଙ୍କୁ ଆଗକୁ ଯିବାକୁ ପଡ଼ିବ
10205600699277680794.wav	ହଂକଂ ଦ୍ୱୀପର ନାମ ଅନୁସାରେ ହଂକଂ ଅଞ୍ଚଳ ନାମିତ ଓ ଏହି ସ୍ଥାନକୁ ଅନେକ ପର୍ଯ୍ୟଟକ ଆକର୍ଷଣର ମୁଖ୍ୟ କେନ୍ଦ୍ରବିନ୍ଦୁ ଭାବରେ ବିବେଚନା କରିଥାନ୍ତି	ହଂକଂ ଦ୍ୱୀପର ନାମ ଅନୁସାରେ ହଂକଂ ଅଞ୍ଚଳ ନାମିତ ଓ ଏହି ସ୍ଥାନକୁ ଅନେକ ପର୍ଯ୍ୟଟକ ଆକର୍ଷଣର ମୁଖ୍ୟ କେନ୍ଦ୍ରବିନ୍ଦୁ ଭାବେ ବିବେଚନା କରିଥାନ୍ତି
