clip_id	reference	hypothesis
10013487754489332324.wav	ഈ നഗരം രാജ്യത്തെ മറ്റ് നഗരങ്ങളിൽ നിന്ന് പൂർണ്ണമായും വ്യത്യസ്തമാണ് കാരണം ഇതിന് ആഫ്രിക്കൻ വാസനയേക്കാൾ അറബിവാസനയാണ് കൂടുതൽ	ഈ നഗരം രാജ്യത്തെ മറ്റു നഗരങ്ങളിൽ നിന്ന് പൂർണ്ണമായും വ്യത്യസ്തമാണ് കാരണം ഇതിന് ആഫ്രിക്കൻ വാസനയേക്കാൾ അറബി വാസനയാണ് കൂടുതൽ
10069218717188856999.wav	പാലത്തിനു താഴെയുള്ള കുത്തനെയുള്ള ഉയരം 15 മീറ്ററാണ് ഇതിൻ്റെ നിർമ്മാണം 2011 ഓഗസ്റ്റിൽ പൂർത്തിയാക്കിയതാണ് എന്നാൽ ഇത് 2017 മാർച്ച് വരെ ഗതാഗതത്തിനായി തുറന്ന് കൊടുത്തിട്ടില്ല	പാലത്തിൻ്റെ താഴെയുള്ള കുത്തനെയുള്ള ഉയരം പതിനഞ്ച് മീറ്റർ ആണ് ഇതിൻ്റെ നിർമ്മാണം രണ്ടായിരത്തി പതിനൊന്ന് ഓഗസ്റ്റിൽ പൂർത്തിയാക്കിയതാണ് എന്നാൽ ഇത് രണ്ടായിരത്തി പതിനേഴ് മാർച്ച് വരെ ഗതാഗതത്തിനായി തുറന്ന് കൊടുത്തിട്ടില്ല
10078044035084322628.wav	ഇത് ബന്ധപ്പെട്ടിരിക്കുന്നു എന്നാൽ സാധാരണയായി ആൽപൈൻ ശൈലിയിലുള്ള സ്കീ ടൂറിംഗോ പർവ്വതാരോഹണമോ ഉൾപ്പെടുന്നില്ല ഇതിൽ രണ്ടാമത്തേത് കുത്തനെയുള്ള ഭൂപ്രദേശങ്ങളിൽ ചെയ്യുന്നതും കൂടുതൽ കട്ടിയുള്ള സ്‌കീകളും ബൂട്ടുകളും ആവശ്യമായതുമാണ്	ഇത് ബന്ധപ്പെട്ടിരിക്കുന്നു എന്നാൽ സാധാരണയായി ആൽപൈൻ ശൈലിയിലുള്ള സ്കി ടൂറിംഗോ പർവ്വതാരോഹണമോ ഉൾപ്പെടുന്നില്ല ഇതിൽ രണ്ടാമത്തേത് കുത്തനെയുള്ള ഭൂപ്രദേശങ്ങളിൽ ചെയ്യുന്നതും കൂടുതൽ കട്ടിയുള്ള സ്കളും ബൂട്ടുകളും ആവശ്യമായതുമാണ്
10101537866226983572.wav	സഹ ഗുസ്തിക്കാരും ലൂണയ്ക്ക് ആദരാഞ്ജലികൾ അർപ്പിച്ചു	സഹഗുസ്തിക്കാരും ലൂണയ്ക്ക് ആദരാഞ്ജലികൾ അർപ്പിച്ചു
10134676116368565149.wav	മുറിവുകൾക്കായി അദ്ദേഹം ഒരു ചിത്രം സജ്ജമാക്കിയിട്ടില്ല ചൈനയുടെ സാമ്പത്തിക ഉൽപാദനത്തെ അടിസ്ഥാനമാക്കിയാണ് അവ നിർമ്മിക്കുക എന്ന് പറഞ്ഞു	മുറിവുകൾക്കായി അദ്ദേഹം ഒരു ചിത്രം സജ്ജമാക്കിയിട്ടില്ല ചൈനയുടെ സാമ്പത്തിക ഉൽപ്പാദനത്തെ അടിസ്ഥാനമാക്കിയാണ് അവ നിർമ്മിക്കുക എന്ന് പറഞ്ഞു
10168662218067058959.wav	നാഷണൽ ട്രഷർ എന്ന സിനിമ നിങ്ങൾ കണ്ടിട്ടുണ്ടെങ്കിൽ സ്വാതന്ത്ര്യ പ്രഖ്യാപനത്തിൻ്റെ പിന്നിൽ ഒരു നിധിയുടെ മാപ്പ് എഴുതപ്പെട്ടതായി നിങ്ങൾക്ക് ചിലപ്പോൾ തോന്നാം	നാഷണൽ ട്രഷർ എന്ന സിനിമ നിങ്ങൾ കണ്ടിട്ടുണ്ടെങ്കിൽ സ്വാതന്ത്ര്യ പ്രഖ്യാപനത്തിൻ്റെ പിന്നിൽ ഒരു നിധിയുടെ മാപ്പ് എഴുതപ്പെട്ടതായി നിങ്ങൾക്ക് ചിലപ്പോൾ തോന്നാം
10199103907587183560.wav	കടൽത്തീരത്ത് മിക്കപ്പോഴും കടലിലെ പാറക്കൂട്ടങ്ങളിലോ സമാനമായ എന്തെങ്കിലും ഒന്നിലോ വന്ന് തട്ടിത്തെറിച്ചു മടങ്ങിവരുന്ന തിരമാലകളുടെ പ്രവാഹമാണ് റിപ്പ് കറൻ്റുകൾ	കടൽത്തീരത്ത് മിക്കപ്പോഴും കടലിലെ പാറക്കൂട്ടങ്ങളിലോ സമാനമായ എന്തെങ്കിലും ഒന്നിലോ വന്ന് തട്ടിത്തെറിച്ച് മടങ്ങിവരുന്ന തിരുമാലകളുടെ പ്രവാഹമാണ് റിപ് കരണ്ടുകൾ
10234648330876278951.wav	കേടുപാട് ഗുരുതരമായ സാമൂഹിക തടസം അല്ലെങ്കിൽ മനുഷ്യ ജീവൻ നഷ്‌ടപ്പെടൽ എന്നിവയുടെ സാധ്യതയുള്ള അപകടകരമായ കാലാവസ്ഥാ പ്രതിഭാസത്തിന് പൊതുവായി പറയുന്ന പദമാണ് കഠിനമായ കാലാവസ്ഥ എന്നത്	കേടുപാട് ഗുരുതരമായ സാമൂഹിക തടസ്സം അല്ലെങ്കിൽ മനുഷ്യജീവൻ നഷ്ടപ്പെടൽ എന്നിവയുടെ സാധ്യതയുള്ള അപകടകരമായ കാലാവസ്ഥാ പ്രതിഭാസത്തിന് പൊതുവായി പറയുന്ന പദമാണ് കഠിനമായ കാലാവസ്ഥ എന്നത്
10267091564765546340.wav	രാസവസ്തു എത്രത്തോളം അസിഡിക് അല്ലെങ്കിൽ ബേസിക് ക്ഷാരസ്വഭാവമുള്ളത് ആണെന്നതിനെ ആശ്രയിച്ച് ജ്യൂസിന്റെ നിറം മാറുന്നു	രാസവസ്തു എത്രത്തോളം അസിതിക് അല്ലെങ്കിൽ ബേസിക് ക്ഷാരസ്വഭാവമുള്ളത് ആണെന്നതിനെ ആശ്രയിച്ച് ജ്യൂസിൻ്റെ നിറം മാറുന്നു
10270044487424671525.wav	53 വയസുകാരനായ ക്യൂമോ ഈ വർഷം ആദ്യം ഗവർണറായി ചുമതല ഏൽക്കുകയും സ്വവർഗ വിവാഹം നിയമവിധേയമാക്കുന്ന ബില്ലിൽ കഴിഞ്ഞ മാസം ഒപ്പ് വയ്ക്കുകയും ചെയ്തു	അമ്പത്തിമൂന്ന് വയസ്സുകാരനായ ക്യൂമോ ഈ വർഷം ആദ്യം ഗവർണറായി ചുമതല ഏൽക്കുകയും സ്വവർഗ്ഗ വിവാഹം നിയമവിധേയമാക്കുന്ന ബില്ലിൽ കഴിഞ്ഞ മാസം ഒപ്പുവെക്കുകയും ചെയ്തു
10277507420082337141.wav	ബെൽജിയൻ മാനദണ്ഡങ്ങൾ അനുസരിച്ചാണ് ഹോട്ട് ചോക്കലേറ്റ് ഉണ്ടാക്കിയിട്ടുള്ളത് ഫ്രൂട്ട് ജ്യൂസുകൾ വിലകൂടിയതാണെങ്കിലും രുചികരമാണ്	ബെൽജിയൻ മാനദണ്ഡങ്ങൾ അനുസരിച്ചാണ് ഹോട്ട് ചോക്ലേറ്റ് ഉണ്ടാക്കിയിട്ടിട്ടുള്ളത് ഫ്രൂട്ട് ജ്യൂസുകൾ വില കൂടിയതാണെങ്കിലും രുചികരമാണ്
