clip_id	reference	hypothesis
10029086309791186826.wav	पोलिस अधीक्षक चंद्र शेखर सोलंकी यांनी सांगितले की आरोपी चेहरा झाकून घेऊन कोर्टात हजर झाला	पोलीस अधीक्षक चंद्रशेखर सोळंकी यांनी सांगितले की आरोपी चेहरा झाकून घेऊन कोर्टात हजर झाला
10102690465248397569.wav	वन्यजीवांचा विचार केल्यास मादागास्कर आतापर्यंत सर्वात मोठे आहे आणि एक स्वतःच खंड आहे	या जीवांचा विचार केल्यास मादागास्कर आतापर्यंत सर्वात मोठे आहे आणि एक स्वतःच खंड आहे
10127057899818603603.wav	जे कोणी उंच भागात किंवा पर्वतांवरील रस्त्यावरून गाडी चालवणार आहेत त्यांनी हिम बर्फ किंवा गोठणबिंदूखालील तापमानाची शक्यता विचारात घ्यावी	जे कोणी उंच भागात किंवा पर्वतांवरील रस्त्यावरून गाडी चालवणार आहेत त्यांनी हिम बर्फ किंवा गोठणबिंदूखालील तापमानाची शक्यता विचारात घ्यावी
10145858997746778240.wav	१९७६ पर्यंत माचू पिचूची तीस टक्के पुनर्स्थापना करण्यात आली होती आणि आजही जिर्णोद्धार सुरू आहे	एकोणीसशे शहात्तर पर्यंत माचुपिचूची तीस टक्के पुनर्स्थापना करण्यात आली होती आणि आजही जीर्णोद्धार सुरू आहे
10162428938523103233.wav	तुम्ही सामान्यत नेहमीच पर्यटक आणि विक्रेत्यांचे आवाज ऐकता आवाज आणि प्रकाशाची गोष्ट ही अगदी एखाद्या गोष्टीच्या पुस्तकासारखी आहे	तुम्ही सामान्यतः नेहमीच पर्यटक आणि विक्रेत्यांचे आवाज ऐकता आवाज आणि प्रकाशाची गोष्ट ही अगदी एखाद्या गोष्टीच्या पुस्तकासारखी आहे
10170842587738962564.wav	सर्व उपलब्ध स्त्रोत संस्थेच्या सर्व कार्यान्वित विभागांमध्ये परिणामकारक वापरल्यास कलात्मकता आणि कल्पकता दिसून येते	सर्व उपलब्ध स्रोत संस्थेच्या सर्व कार्यान्वित विभागांमध्ये परिणामकारक वापरल्यास कलात्मकता आणि कल्पकता दिसून येते
10174072832207921651.wav	या महिन्यामध्ये मशहाद येथे अजून एक विमान धावपट्टी ओलांडून पुढे गेले भिंतीला धडकून सतरा जणांचा जीव गेला	या महिन्यामध्ये मशहा तेथेच अजून एक विमान दापटीवर आणून पुढे गेले भिंतीला धटकवून सतरा जणांचा जीव गेला
10201098310487173927.wav	सिंट्राचे रोमँटिक आणि मोहक शहर हे उत्तरेकडे व सहज पोहोचता येऊ शकणारे आहे तसेच लॉर्ड बायरनने रेकॉर्ड केलेल्या त्याच्या वैभवाच्या भव्यतेच्या वर्णनानंतर हे परदेशी लोकांमध्ये देखील प्रसिद्ध झाले आहे	सिंट्राचे रोमँटिक आणि मोहक शहर हे उत्तरेकडे व सहज पोहोचता ये शकणारे आहे तसेच लॉर्ड बायर्नने रेकॉर्ड केलेल्या त्यांच्या वैभागाच्या भव्यतेच्या वर्चनानंतर हे परदेशी लोकांमध्ये देखील प्रसिद्ध झाले आहे
10209270551262005174.wav	अपिया ही सामोआ ची राजधानी आहे हे शहर उपोलू बेटावर आहे आणि याची लोकसंख्या फक्त 40000 च्या आत आहे	अपिया ही सामोआची राजधानी आहे हे शहर उपोलु बेटावर आहे आणि याची लोकसंख्या फक्त चाळीस हजारच्या आत आहे
10209762496868095317.wav	वनस्पती ऑक्सिजनची निर्मिती करतात ज्याचा उपयोग मनुष्य श्वास घेताना करतो आणि ते कार्बन-डायऑक्साईड घेतात जो मनुष्य उच्छ्वासाद्वारे बाहेर सोडतो म्हणजेच श्वास सोडणे	वनस्पती ऑक्सिजनची निर्मिती करतात ज्याचा उपयोग मनुष्य श्वास घेताना करतो आणि ते कार्बन डाय ऑक्साईड घेतात जो मनुष्य उच्छ्वासाद्वारे बाहेर सोडतो म्हणजेच श्वास सोडणे
10218825816989175821.wav	मार्टेलीने काल 9 सदस्यांच्या नवीन प्रोविजनल इलेक्टोरल काउन्सिलमध्ये सीईपी शपथ घेतली	मार्टलीने काल नऊ सदस्यांच्या नवीन प्रोव्हिजनल इलेक्ट्रोल काउन्सिलमध्ये सीईपी शपथ घेतली
10257470372493232363.wav	शेंजेन झोन असला तरी याबाबतीत काही प्रमाणात एखाद्या देशासारखा कार्य करतो	शेन्जेनझोन असला तरी या बाबतीत काही प्रमाणात एखाद्या देशासारखा कार्य करतो
10259726328925435736.wav	"मुहम्मदला या सांसारिक जीवनापलिकडील गोष्टींमध्ये अतिशय रुचिहोती. तो ज्ञानप्राप्तीसाठी "नूर" प्रकाश पर्वतावरील "हिरा" नावानेप्रसिद्ध झालेल्या एका गुहेत वारंवार जात असे.	मुहम्मदला या सांसारिक जीवनापलीकडील गोष्टींमध्ये अतिशय रुची होती तो ज्ञानप्राप्तीसाठी नूर प्रकाश पर्वतावरील हिरा नावाने प्रसिद्ध झालेल्या एका गुहेत वारंवार जात असे
10291151742776340106.wav	रिप/रक्षी प्रवाह हे किनाऱ्यापासून वेगळ्या झालेल्या लाटांपासून परतणारा प्रवाह असतात सहसा प्रवाली किंवा तत्सम ठिकाणी	रिप रक्षी प्रवाह हे किनाऱ्यापासून वेगळ्या झालेल्या लाटांपासून परतणारा प्रवाह असतात सहसा प्रवाली किंवा तत्सम ठिकाणी
10329146223209027475.wav	जितका तणाव कमी तितकी सकारात्मक जीवन उर्जा अस्तित्वात असते प्रत्येक व्यक्तीकडे संपूर्ण शांती आणि समाधान मिळवण्याची क्षमता असते	जितका तणाव कमी तितकी सकारात्मक जीवन ऊर्जा अस्तित्वात असते प्रत्येक व्यक्तीकडे संपूर्ण शांती आणि समाधान मिळवण्याची क्षमता असते
10337495273667058523.wav	प्रत्येकजण समाजात सहभागी होतो आणि वाहतुक यंत्रणांचा वापर करतो जवळपास प्रत्येकजण वाहतूक यंत्रणांबाबत तक्रार करतो	प्रत्येकजण समाजात सहभागी होतो आणि वाहतूक यंत्रणांचा वापर करतो जवळपास प्रत्येकजण वाहतूक यंत्रणांबाबत तक्रार करतो
10357069420670487676.wav	त्याला सुरुवातील ग्रेट यारमाउथ येथील जेम्स पॅगेट रुग्णालयात दाखल केले होते	त्याला सुरुवातीला ग्रेट यामाऊथ येथील जेम्स प्रॅगेट रुग्णालयात दाखल केले होते
10362338566354994001.wav	तथापि रीगा शांतता करार सोव्हिएत-पोलिश नॉन-अ‍ॅग्रेशन करार तसेच अन्य आंतरराष्ट्रीय करार द्विपक्षीय आणि बहुपक्षीय दोन्हीच्या उल्लंघनामुळे पोलंडच्या पूर्व प्रदेशावर आक्रमण केल्यानंतर सोव्हिएतच्या युनियन रेड आर्मीच्या 800,000 सैनिकांनी प्रवेश केला आणि बेलारूस आणि युक्रेनियन फ्रंट तयार केला तेव्हा या योजना जवळपास रातोरात अप्रचलितपणे प्रस्तुत केल्या गेल्या	तथापि रीगा शांतता करार सोव्हिएत पॉलिश नॉन इग्रेशन करार तसेच अन्य आंतरराष्ट्रीय करार द्विपक्षीय आणि बहुपक्षीय दोन्हीच्या उल्लंघनामुळे पोलंडच्या पूर्व प्रदेशावर आक्रमण केल्यानंतर सोव्हिएतच्या युनियन रीड आर्मीच्या आठ लक्ष सैनिकांनी प्रवेश केला आणि बेदारुस आणि युक्रेनियन फ्रंट तयार केला तेव्हा या योजना जवळपास रातोरात अप्रचलितपणे प्रस्तुत केल्या गेल्या
10369140904526923849.wav	त्याच धर्तीवर पुरुषांना गुडघे झाकणारे ट्राउझर्स घालणे आवश्यक आहे	त्याच धर्तीवर पुरुषांना गुडघे झाकणारे ट्राउझर घालणे आवश्यक आहे
10388620838635736235.wav	हे संबंधित आहे परंतु सामान्यत अल्पाइन स्टाईल स्की टूरिंग किंवा पर्वतारोहणात यांचा समावेश नसतो नंतर लोकांनी उतार असलेल्या प्रदेशात स्कीइंग केले तसेच यासाठी जास्त स्किफर स्की आणि बूट आवश्यक असतात	हे संबंधित आहे परंतु सामान्यतः अल्पाइन स्टाईल स्की टूरिंग किंवा पर्वतारोहणात यांचा समावेश नसतो नंतर लोकांनी उतार असलेल्या प्रदेशात स्कीइंग केले तसेच यासाठी जास्त स्कीफर स्की आणि बूट आवश्यक असतात
10392451913859275620.wav	उदाहरणार्थ प्रत्येक वर्षी उत्तर कॅलोरिनातील बेनेट शाळेचे विद्यार्थी त्यांच्या राज्याच्या राजधानीला भेट देण्याच्या सहलीसंबंधी वेबसाइट तयार करतात प्रत्येक वर्षी वेबसाइट पुन्हा तयार केली जाते पण तिच्या जुन्या आवृत्त्या स्क्रॅपबुक प्रमाणे ऑनलाइन ठेवल्या जातात	उदाहरणार्थ प्रत्येक वर्षी उत्तर कॅलोरिनातील बेनेट शाळेचे विद्यार्थी त्यांच्या राज्याच्या राजधानीला भेट देण्याच्या सहलीसंबंधी वेबसाईट तयार करतात प्रत्येक वर्षी वेबसाईट पुन्हा तयार केली जाते पण तिच्या जुन्या आवृत्त्या स्क्रॅपबुकप्रमाणे ऑनलाइन ठेवल्या जातात
