clip_id	reference	hypothesis
10054709042905280078.wav	చిన్న ద్వీపాలలో చాలా వరకు స్వతంత్ర దేశాలు లేదా ఫ్రాన్స్ తో సంబంధం కలిగి ఉన్నాయి ఇంకా వీటిని లగ్జరీ బీచ్ రిసార్ట్ స్ అని పిలుస్తారు	చిన్న ద్వీపాలలో చాలా వరకు స్వతంత్ర దేశాలు లేదా ఫ్రాన్స్ తో సంబంధం కలిగి ఉన్నాయి ఇంకా వీటిని లగ్జరీ బీచ్ రిసార్ట్స్ అని పిలుస్తారు
10085601229183142282.wav	కొన్ని క్రియలు ఆబ్జెక్టుల మధ్య తేడాను గుర్తించడానికి ఇది ఒక ముఖ్యమైన మార్గం	కొన్ని క్రియలు ఆబ్జెక్టులు మధ్య తేడాను గుర్తించడానికి ఇది ఒక ముఖ్యమైన మార్గం
10097262201978333927.wav	మీరు మీ స్వంతం ఆలోచనలతో కాకుండా ప్రభుత్వాల సలహా కూడా తీసుకోవాలని అనుకోవచ్చు అయితే వారి సలహా వారి పౌరుల కోసం రూపొందించబడింది	మీరు మీ స్వంతం ఆలోచనలతో కాకుండా ప్రభుత్వాల సలహా కూడా తీసుకోవాలని అనుకోవచ్చు అయితే వారి సలహా వారి పౌరుల కోసం రూపొందించబడింది
10145424547032356574.wav	ఈ దృశ్యాలు పిరమిడ్లపై ప్రదర్శించబడతాయి మరియు వేరే పిరమిడ్లను వెలిగించబడ్డాయి	ఈ దృశ్యాలు పిరమిడ్లపై ప్రదర్శించబడతాయి మరియు వేరే పిరమిడ్లను వెలిగించబడ్డాయి
10145868845413764406.wav	పరికరాన్ని గాల్లో కదిలించడం ద్వారా వీడియో గేమ్స్లో యాక్షన్లు మరియు కదలికలను నియంత్రించడానికి ఇది ఆటగాళ్లకు వీలు కల్పిస్తుంది	పరికరాన్ని గలో కదలించడం ద్వారా వీడియో గేమ్స్ లో యాక్షన్లు మరియు కదలికలను నియంత్రించడానికి ఇది ఆటగాళ్లకు వీలు కల్పిస్తుంది
1018616296093099687.wav	కాల్షియం పొటాషియం వంటి మూలకాలను లోహాలుగా పరిగణిస్తారు వెండి బంగారం వంటి లోహాలు కూడా ఉన్నాయి	కాల్షియం పొటాషియం వంటి మూలకాలను లోహాలుగా పరిగణిస్తారు వెండి బంగారం వంటి లోహాలు కూడా ఉన్నాయి
10217994866191966871.wav	ఆ విధంగా పెన్సిల్ బయటకు వచ్చినప్పుడు చాలా మందికి మంచి స్నేహితుడు	ఆ విధంగా పెన్సిల్ బయటకు వచ్చినప్పుడు చాలా మందికి మంచి స్నేహితుడు
10252770362041562600.wav	"అతని పని అటువంటి గుర్తింపు పొందిన నాణ్యత మరియు వివరాలతో కూడినది అతను ఫిలాటెలిస్టులలో చాలా తక్కువ "కుటుంబసభ్యుని లాంటి" వాళ్ళల్లో ఒకడు. అతని పనులను సేకరించడంలో మాత్రమే కొందరు ప్రత్యేకత కలిగి ఉన్నారు.	అతని పని అటువంటి గుర్తింపు పొందిన నాణ్యత మరియు వివరాలతో కూడినది అతడు ఫెలా టెస్టులలో చాలా తక్కువ కుటుంబ సభ్యుని లాంటి వాళ్ళలో ఒకడు అతని పనులను సేకరించడంలో మాత్రమే కొందరు ప్రత్యేకత కలిగి ఉన్నారు
10291149870624674262.wav	ఐరోపా సాపేక్షంగా చిన్నదే కాని అనేక స్వతంత్ర దేశాలతో కూడిన ఖండం సాధారణ పరిస్థితుల్లో అనేక దేశాల్లో ప్రయాణించడం అంటే వీసా అప్లికేషన్ లు మరియు పాస్ పోర్ట్ నియంత్రణ ద్వారా అనేకసార్లు వెళ్లాల్సి ఉంటుంది	ఐరోపా సాపేక్షంగా చిన్నదే కానీ అనేక స్వతంత్ర దేశాలతో కూడిన ఖండం సాధారణ పరిస్థితుల్లో అనేక దేశాల్లో ప్రయాణించడం అంటే వీసా అప్లికేషన్లు మరియు పాస్పోర్ట్ నియంత్రణ ద్వారా అనేక సార్లు వెళ్లాల్సి ఉంటుంది
10373756234313480430.wav	దాని 78 సిఫార్సుల్లో మొదటిది శత్రు దేశాల జోక్యానికి వ్యతిరేకంగా ఇరాక్ సరిహద్దులను సురక్షితంచేయడానికి మరియు దాని పొరుగుదేశాలతో దౌత్య సంబంధాలను తిరిగి నెలకొల్పడానికి ఈ ఏడాది చివరిలో గా ఒక కొత్త దౌత్య పరమైన చొరవ తీసుకోవాలి	దాని డెబ్బై ఎనిమిది సిఫార్సులలో మొదటిది శత్రు దేశాల జోక్యానికి వ్యతిరేకంగా ఇరాక్ సరిహద్దులను సురక్షితం చేయడానికి మరియు దాని పొరుగు దేశాలతో దౌత్య సంబంధాలను తిరిగి నెలకొల్పడానికి ఏడాది చివరిలోగా ఒక కొత్త దౌత్యపరమైన చొరవ తీసుకోవాలి
