clip_id	reference	hypothesis
10022069032386256914.wav	છોડ ઓક્સિજન બનાવે છે જેનેથી મનુષ્ય શ્વાસ લે છે અને તેઓ કાર્બન-ડાયોક્સાઇડ લે છે જેને મનુષ્ય શ્વાસથી બહાર કાઢે છે એટલે ​​કે શ્વાસ બહાર કાઢે 	છોડ  ઓક્સીજન બનાવે છે જેનાથી મનુષ્યનું શ્વસન લે છે અને તેઓ કાર્બન ડીઑક્સાઇડ લે છે જેને મનુષ્ય શ્વાસથી બહાર કાઢે છે એલે કે શ્વાસ બહાર કાઢે
10033981969112827295.wav	દરેક વ્યક્તિ સમાજનો હિસ્સો બને છે અને પરિવહન પ્રણાલીઓનો ઉપયોગ કરે છે પરિવહન પ્રણાલી વિશે લગભગ દરેકની ફરિયાદ હોય છે	દરેક વ્યક્તિ સમાજનો હિસ્સો બને છે અને પરિવહન પ્રણાલીઓનો ઉપયોગ કરે છે પરિવહન પ્રણાલી વિશે લગભગ દરેકને ફરિયાદ હોય છે
10047845673272040697.wav	29 વર્ષીય ડૉ. મલાર બાલાસુબ્રમણ્યમ ઓહિયોના બ્લૂ એશમાં મળી આવ્યા હતા,સિનસિનાટીથી લગભગ 15 માઇલ ઉત્તરમાં એક ઉપનગરો,રસ્તાની બાજુમાં ટી-શર્ટ અને અન્ડરવેર માં જમીન પર પડેલા અને તે દેખીતી રીતે ભારે દવાની સ્થિતિમાં હતી	બ્લૂમાં મળી આવ્યા હતા સન સનાટીથી લગભગ પંદર મિલ ઉતરમાં એક ઉપનગરો રસ્તાની બાજુમાં ટીશર્ટ અને અન્ડરવર માં જમીન પર પડેલા અને તે દેખી રીતે ભારે દવાની સ્થિતિમાં હતા
10051332836083130420.wav	આ પોપડો નજીકની બાજુએ લગભગ 70 કિલોમીટર જાડો અને દૂરની બાજુએ 100 કિલોમીટર જાડો છે	આ પોપડો નજીકની બાજુએ લગભગ સિત્તેર કિોમીટર જાડો અને દૂરની બાજુએ સો કિમીટ ઝડો છે
10054314118491272104.wav	ઉત્તરમાં આ વિસ્તાર સાહેલ અને એટલાન્ટિક મહાસાગરની દક્ષિણે અને પશ્ચિમમાં બંધાયેલો	ઉત્તરમાં આ વિસ્તાર શહેલ અને એટલાન્ટિક મહાસાગરની દક્ષિણે અને પશ્ચિમમાં બંધાયેલો
1008765602519405220.wav	ફિલિપિનો ફોટોગ્રાફરો અને બાળકો તેમજ વૃદ્ધો સહિત 6 બંધકોને પહેલા છોડી દેવામાં આવ્યા હતા	ફિલિપીનો ફોટોગ્રાફરો અને બાળકો તેમજ વૃદ્ધો સહિત છ બંધકોને પહેલા છોડી દેવામાં આવ્યા હતા
10129438985400795483.wav	તમે ગોમામાં ફરવા માટે બોડા-બોડા મોટરસાઇકલ ટૅક્સીનો ઉપયોગ કરી શકો છો. ટૂંકી રાઇડ માટે સામાન્ય સ્થાનિક ભાવ ~500 કોંગોલીઝ ફ્રાન્ક છે	તમે ગોમામાં ફરવા માટે બોડાબોડા મોટરસાઇકલ ટેક્સી નો ઉપયોગ કરી શકો છો ટૂંકી રાઇડ માટે સામાન્ય સ્થાનિક ભાવ પાચ૦ો કોંગોલિક ફ્રાંક છે
10154331351568324622.wav	સિંહો સૌથી વધુ સામાજિક બિલાડીઓ છે જે ગૌરવ નામે ઓળખાતા મોટા જૂથમાં રહે	સિંહો સૌથી વધુ સામાજિક બિલાડીઓ છે જે ગૌરવ નામે ઓળખાતા મોટા જૂથમાં રહે
10164951352830139261.wav	ખાસ કરીને ઉનાળામાં સાદું લોકપ્રિય રાત્રિભોજન છે પા ઍમ્બ ઑલિ ઑલિવ ઑઇલ ટામેટાં અને અન્ય ચીઝ તુનાફિશ વગેરે જેવા ઉપલબ્ધ વ્યંજનો સાથે બ્રેડ	ખાસ કરીને ઉનાળામાં સાદું લોકપ્રિય રાત્રિ ભોજન છે પા એમ્બઓલી ઓલિવ ઓઇલ ટામેટા અને અન્ય ચીઝ તોનાફિશ વગેરે જેવા ઉપલબ્ધ વ્યંજનો સાથે બ્રેડ
10282288803999807308.wav	રદ કરવાની નીતિઓ બદલાય છે પરંતુ માર્ચના અંતથી મોટા ભાગની કોરોના વાયરસ આધારિત રદ કરવાની નીતિઓ જુલાઈ 2020 સુધી લંબાતી નથી જ્યારે ઓલિમ્પિક સુનિશ્ચિત કરવામાં આવી હતી	રદ કરવાની નીતિઓ બદલાય છે પરંતુ માર્ચના અંતથી મોટાભાગની કોરોના વાયરસ આધારિત રદ કરવાની નીતિઓ જુલાઈ બેજ૦ સુધી લંબાતી નથી જ્યારે ઓલિમ્પિક્સ સુનિશ્ચિત કરવામાં આવી હતી
1032621302836202874.wav	"15મી ઓગસ્ટ 1940નાં રોજ સાથી દળોએ ફ્રાન્સના દક્ષિણ ભાગ ઉપર હુમલો કર્યો હતો આક્રમણને "ઓપરેશન ડ્રેગૂન" તરીકે ઓળખવામાં આવ્યુ  હતું.	ંદરી ઑગસ્ટ ૧૯૦ ના રોજ સાથીદળોએ ફ્રાન્સના દક્ષિણ ભાગ ઉપર હુમલો કર્યો હતો આક્રમણને ઓપરેશન ડ્રેગન તરીકે ઓળખવામાં આવ્યું હતું
10339251064901868725.wav	વનસ્પતિઓ ફોટોસિન્થેસિસ દ્વારા સૂર્યમાંથી પોતાનો ખોરાક બનાવે છે તે છાંયડો પણ આપે છે	વનસ્પતિઓ ફોટોસિન્થેસિસ દ્વારા સૂર્યમાંથી પોતાનો ખોરાક બનાવે છે તે છંાયડો પણ આપે છે
10344165401321702763.wav	1537માં અસુનસિયોનની સ્થાપના થઈ ત્યારથી પેરાગ્વે તેના ઘણા સ્વદેશી ચારિત્ર્ય અને ઓળખને જાળવી રાખવામાં સફળ રહ્યું	૧૫૩૭માં અસોન સિયોનની સ્થાપના થઈ ત્યારથી પેરાગ્વી તેના ઘણા સ્વદેશી ચરિત્ર અને ઓળખને જાળવી રાખવામાં સફળ રહ્યું
10347511448765778840.wav	તેમણે આ કાપમાટે કોઈ આંકડો નક્કી કર્યો ન હતો અને કહ્યું હતું કે તેઓ ચીનના આર્થિક ઉત્પાદનથી નક્કી થશે	તેમણે આ કાપ માટે કોઈ આંકડો નક્કી કર્યો ન હતો અને કહ્યું હતું કે તેઓ ચીનના આર્થિક ઉત્પાદનથી નક્કી થશે
