clip_id	reference	hypothesis
1003119935936341070.wav	however due to the slow communication channels styles in the west could lag behind by 25 to 30 year	however due to the slow communication channels styles in the west could lag behind by twentyfive to thirty years
10052240106321793346.wav	all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence	all nounce alongside the world safe for you always begin with a capital letter even the middle of a sentence
10167324587744183095.wav	to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron	to the north and within easy reach as a romantic and fascinating town of centra and which was made famous to foreigners after a glowing account of its splendorous recorded by lord byron
10197164397713068203.wav	the cabbage juice changes color depending on how acidic or basic alkaline the chemical is	the cabins changes colored depending on how astheric basic alkamine the chemical is
10233995782544396174.wav	many people don't think about them as dinosaurs because they have feathers and can fly	many peoples on the knapatam asinators because they have feathers and kim fire
10235738076911595987.wav	the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others	the hospital has followed protocal for infection control in cooling separating the patient from others to prevent possible infection of others
10323357556845456822.wav	the northern marianas emergency management office said that there were no damages reported in the nation	the northern mariannas emergency management office said that there were no damages reported in the nation
10335587906469246566.wav	twentieth century research has shown that there are two pools of genetic variation hidden and expressed	twentieth century research has shown that there are two poles of genetic variation hidden and expressed
10344335557154974057.wav	the aspect ratio of this format dividing by twelve to obtain the simplest whole-number ratio is therefore said to be 3:2	the asperate ratio of this format divying by twelve to obtain a simplest whole number ratio is therefore said to be free to two
1036771894648013441.wav	as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times	as lie pollution in their hedee was not the kind of problem it is today they are usually located in citizoreic campuses easier to reach than those built in modern times
1038214857203833067.wav	through the night between 150 and 200 copies were made now known as dunlap broadsides	the night between one fifty and two hundred copies were made now known as than nap outside
10383288285905292158.wav	for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook	for example each year students from benet school and north car line had designer website about their trips to the sake capital each year the website gets remodelled but old versions are kept on line to services scrapbook
10405958125670257178.wav	lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey	lion prize acts much like packs of wolves or dogs animals surprisingly summers to lions but not other big cats and behaviour and also very deadly to their pray
10411016628242228511.wav	the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa	the city is also the base to climb that niroigongo volcano along with some of the cheapest mountain guerilla trafficking in africa
1042003289011443756.wav	the internet combines elements of both mass and interpersonal communication	the internet combined elements of both mass and an interpersonal communication
1043394666292127188.wav	these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things	these things look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things
1045619486290403122.wav	for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era	for example the most common still image photography forman in the world is thirty five millimeter which was the dominant film size at the close of the analogue film era
1046653381869710616.wav	the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna	the terms the fary and popular loose refers to overland travel to view the stunting african wild life particularly on savata
10471564175308895403.wav	but there are a lot of things about birds that still look like a dinosaur	but they are all of things about there is a snow look like a dinner sore
10481451226514948764.wav	women it is recommended that any women travellers say that they are married regardless of actual marital status	women is recommended that any women travellers so that they are married regardless of actual merital status
10492135991603561867.wav	in some areas boiling water for a minute is enough in others several minutes are needed	in some areas boiling water for a minute is enough and other several minutes are needed
